Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,59.5,61.69,57.1,57.76,33088.86,0
2015-12-30,54.55,61.49,52.85,61.49,73958.35,0
2015-12-29,55.5,56.75,54.12,55.9,9824.19,0
2015-12-28,57.7,57.95,54.92,55.5,21804.93,0
2015-12-25,57.82,59.5,56.8,57.7,19704.08,0
2015-12-24,56.3,56.8,54.96,56.5,12224.39,0
2015-12-23,54.5,58.08,54.3,56.8,32097.35,0
2015-12-22,54.11,55.83,54.01,55.03,16192.58,0
2015-12-21,52.01,54.9,51.05,54.11,16294.33,0
2015-12-18,54.0,54.5,52.52,52.75,17274.94,0
2015-12-17,52.05,54.6,51.65,54.2,25046.43,0
2015-12-16,50.8,52.28,50.7,51.55,17762.43,0
2015-12-15,51.0,51.95,50.5,50.8,13780.27,0
2015-12-14,49.74,51.0,48.6,51.0,15506.32,0
2015-12-11,50.1,51.66,48.57,49.57,18315.89,0
2015-12-10,53.54,53.54,51.3,51.41,20599.03,0
2015-12-09,53.88,54.88,53.0,53.59,12273.09,0
2015-12-08,56.5,57.31,54.61,55.3,11358.57,0
2015-12-07,56.07,57.19,55.32,56.85,14779.21,0
2015-12-04,56.0,56.56,55.0,56.0,12696.82,0
2015-12-03,54.31,56.7,53.6,56.1,11563.27,0
2015-12-02,57.35,57.6,52.2,53.57,17334.68,0
2015-12-01,57.51,60.0,56.0,57.35,23228.12,0
2015-11-30,58.8,59.4,52.11,58.77,30186.99,0
2015-11-27,60.11,64.3,56.1,57.88,29625.05,0
2015-11-26,61.61,65.65,60.02,61.18,32834.9,0
2015-11-25,58.35,64.0,57.5,62.51,38848.1,0
2015-11-24,54.15,60.0,54.15,58.37,24491.47,0
2015-11-23,55.5,57.51,54.48,54.8,23774.46,0
2015-11-20,55.17,55.66,53.81,54.91,21487.06,0
2015-11-19,53.5,55.3,52.2,55.22,23175.22,0
2015-11-18,55.45,56.93,52.9,53.0,23956.62,0
2015-11-17,60.61,61.49,55.0,55.7,37646.63,0
2015-11-16,56.2,61.94,54.81,59.67,26997.47,0
2015-11-13,61.96,66.0,57.1,59.13,54966.74,0
2015-11-12,56.71,61.96,56.7,61.96,44047.12,0
2015-11-11,52.47,56.95,51.67,56.33,29588.77,0
2015-11-10,52.83,54.48,51.56,52.78,24971.74,0
2015-11-09,50.51,54.8,50.51,53.82,33871.18,0
2015-11-06,48.99,52.0,48.99,51.25,27342.53,0
2015-11-05,51.92,52.79,49.5,49.96,36566.41,0
2015-11-04,49.36,53.39,48.2,52.61,38442.71,0
2015-11-03,47.0,50.5,45.53,49.24,46414.73,0
2015-11-02,43.4,49.17,42.61,47.53,47261.38,0
2015-10-30,43.02,45.82,42.3,44.7,24548.94,0
2015-10-29,43.9,43.9,42.01,43.3,12204.55,0
2015-10-28,42.98,44.56,42.06,42.87,18248.18,0
