date,open,close,volume
2015-12-31,35.25,34.45,78852.18
2015-12-30,33.1,34.91,128058.95
2015-12-29,32.58,33.01,46922.4
2015-12-28,33.34,32.56,96713.62
2015-12-25,31.75,33.45,111377.15
2015-12-24,32.23,31.8,66796.92
2015-12-23,32.86,32.31,93789.42
2015-12-22,33.11,32.9,54195.19
2015-12-21,32.45,33.2,78012.65
2015-12-18,32.03,32.41,85307.63
2015-12-17,31.9,32.03,70815.17
2015-12-16,31.99,31.59,59826.41
2015-12-15,32.0,31.95,64639.18
2015-12-14,30.13,31.72,34645.73
2015-12-11,31.58,30.9,43862.71
2015-12-10,31.36,31.6,52534.22
2015-12-09,31.6,31.5,70133.44
2015-12-08,32.31,32.23,64258.37
2015-12-07,32.75,32.65,63458.44
2015-12-04,33.13,32.73,97994.66
2015-12-03,33.01,33.13,85679.06
2015-12-02,34.14,33.2,103017.8
2015-12-01,34.91,34.12,93933.98
2015-11-30,32.04,34.85,120730.63
2015-11-27,34.3,32.23,132863.53
2015-11-26,33.33,34.1,133245.16
2015-11-25,32.22,32.99,108400.24
2015-11-24,32.55,32.15,80797.26
2015-11-23,30.62,32.06,146608.31
2015-11-20,31.18,30.55,95208.26
2015-11-19,30.36,31.08,73267.98
2015-11-18,30.85,30.38,72382.6
2015-11-17,31.46,30.79,85254.59
2015-11-16,30.68,31.09,89030.14
2015-11-13,31.8,31.58,111516.67
2015-11-12,31.79,32.35,124261.95
2015-11-11,31.35,31.89,151777.23
2015-11-10,29.9,30.85,135252.31
2015-11-09,30.2,30.03,123834.6
2015-11-06,29.59,30.2,102340.08
2015-11-05,29.88,29.24,137515.05
2015-11-04,28.1,29.85,117944.15
2015-11-03,27.48,28.28,104360.62
2015-11-02,27.0,27.31,73128.82
2015-10-30,28.5,28.37,73191.63
2015-10-29,28.52,28.86,73833.68
2015-10-28,29.5,28.39,102202.13
2015-10-27,29.5,29.42,92500.68
2015-10-26,29.9,29.69,150246.36
2015-10-23,28.8,29.39,147668.77
2015-10-22,27.81,28.8,121801.25
2015-10-21,30.72,27.77,141130.28
2015-10-20,30.05,30.86,102446.32
2015-10-19,30.13,30.28,181803.55
2015-10-16,29.02,30.1,210500.66
2015-10-15,27.0,28.36,126842.3
2015-10-14,28.4,27.29,145012.05
2015-10-13,27.3,28.64,171085.77
2015-10-12,27.4,27.85,307966.16
2015-10-09,24.2,26.57,178042.14
2015-10-08,23.62,24.18,110547.37
2015-09-30,23.3,22.99,66779.04
2015-09-29,22.76,22.74,53725.37
2015-09-28,23.16,23.35,57908.25
2015-09-25,23.72,23.17,131876.84
2015-09-24,23.6,23.66,84738.54
2015-09-23,23.19,23.58,103065.58
2015-09-22,24.28,23.76,148415.77
2015-09-21,22.73,23.9,123197.87
2015-09-18,22.12,23.13,143052.17
2015-09-17,22.49,21.75,211587.41
2015-09-16,20.3,22.01,139824.38
2015-09-15,21.2,20.01,158213.7
2015-09-14,25.1,22.2,274584.0
2015-09-11,22.99,24.14,219753.61
2015-09-10,22.9,22.9,138161.2
2015-09-09,25.1,23.84,389418.94
2015-09-08,21.42,24.15,96160.72
2015-09-07,22.48,21.9,104450.65
2015-09-02,20.5,21.93,122227.66
2015-09-01,24.41,21.95,97152.39
2015-08-31,24.5,24.4,99261.08
2015-08-28,23.2,24.62,106753.01
2015-08-27,21.5,22.4,95603.11
2015-08-26,22.51,20.42,119176.64
2015-08-25,22.38,22.38,83906.01
2015-08-24,25.5,24.87,71948.33
2015-08-21,29.2,27.74,101463.53
2015-08-20,33.2,30.49,95190.78
2015-08-19,31.56,33.82,132046.31
2015-08-18,37.05,33.26,139656.59
2015-08-17,34.4,36.97,133955.34
2015-08-14,35.3,34.79,199915.3
2015-08-13,30.78,33.99,202245.41
2015-08-12,29.48,30.92,144789.69
2015-08-11,29.3,30.01,122871.03
2015-08-10,27.6,29.49,100769.93
2015-08-07,25.88,27.01,80770.58
2015-08-06,25.23,25.66,57997.74
2015-08-05,27.4,26.49,108578.47
2015-08-04,25.45,27.38,117037.88
2015-08-03,27.47,25.15,106746.32
2015-07-31,29.18,28.0,94389.22
2015-07-30,30.18,29.76,135213.55
2015-07-29,28.7,31.0,119185.26
2015-07-28,27.0,28.4,155670.34
2015-07-27,29.7,27.57,179403.19
2015-07-24,31.08,30.55,178963.31
2015-07-23,28.75,31.03,166747.88
2015-07-22,28.43,28.75,106261.23
2015-07-21,27.6,28.91,125329.37
2015-07-20,28.0,28.31,140742.38
2015-07-17,25.98,27.7,124719.38
2015-07-16,25.28,25.53,131768.66
2015-07-15,27.0,25.33,82085.3
2015-07-14,28.2,28.1,238984.69
2015-07-13,26.7,27.32,99963.31
2015-07-10,23.9,24.84,42226.97
2015-07-09,18.97,22.58,93167.47
2015-07-08,20.53,20.53,503726.34
2015-07-07,23.85,22.81,53181.99
2015-07-06,30.36,25.34,250585.5
2015-07-03,28.17,28.16,103794.0
2015-07-02,34.0,31.29,113854.72
2015-07-01,37.0,34.77,112231.85
2015-06-30,36.0,38.59,146701.53
2015-06-29,43.8,37.94,119226.79
2015-06-26,44.01,42.16,108904.92
2015-06-25,50.6,46.88,143915.55
2015-06-24,49.65,50.49,178185.16
2015-06-23,45.5,49.61,142805.34
2015-06-19,45.0,46.41,174678.16
2015-06-18,48.32,47.05,152652.5
2015-06-17,42.89,47.43,134941.72
2015-06-16,44.5,43.11,115448.11
2015-06-15,44.9,45.09,147524.23
2015-06-12,44.98,44.93,112768.2
2015-06-11,42.6,44.97,195521.12
2015-06-10,39.1,42.28,170407.02
2015-06-09,40.4,39.28,120878.57
2015-06-08,37.95,40.0,206131.97
